1,Sauce Blanche du Tenrac
2,Sauce Chasseur au Fromage
3,Mayonnaise Maison au Beurre
4,Moutarde à l'Ancienne Fondante
5,Ketchup Gourmet Epicé
6,Sauce Samouraï de l'Ordre
7,Sauce Algérienne de la Meule
8,Sauce Curry-Raclette
9,Sauce Poivre Vert Crémée
10,Sauce Barbecue Fumée
11,Sauce Béarnaise au Beurre de Baratte
12,Sauce Tartare des Alpages
13,Sauce Aïoli du Chevalier
14,Sauce Hannibal du Commandeur
15,Sauce Biggy-Tender
16,Sauce Cheesy-Kebab
17,Sauce Hollandaise au Saumon
18,Sauce Cocktail au Fromage
19,Sauce Bourgy-Tender
20,Sauce Magic-Raclette.
